hierarchy	system	code	fsn	version	preferred	acceptable	orphanet_map
disorder	http://snomed.info/sct	SNOMEDCT:723579009	Tangier disease (disorder)	20240301	Tangier disease	Defective adenosine triphosphate-binding cassette transporter A1	ORPHA:31150
disorder	http://snomed.info/sct	SNOMEDCT:723580007	Talo-patello-scaphoid osteolysis syndrome (disorder)	20240301	Talo-patello-scaphoid osteolysis syndrome	Singh Williams McAlister syndrome	ORPHA:50809
disorder	http://snomed.info/sct	SNOMEDCT:723581006	Syndactyly, telecanthus, anogenital and renal malformation syndrome (disorder)	20240301	STAR syndrome	STAR (syndactyly, telecanthus, anogenital, renal malformation) syndrome	ORPHA:140952
disorder	http://snomed.info/sct	SNOMEDCT:723582004	Subepithelial mucinous corneal dystrophy (disorder)	20240301	Subepithelial mucinous corneal dystrophy		ORPHA:98959
disorder	http://snomed.info/sct	SNOMEDCT:723583009	Steroid dehydrogenase deficiency and dental anomaly syndrome (disorder)	20240301	Steroid dehydrogenase deficiency and dental anomaly syndrome	Lyngstadaas syndrome	ORPHA:3196
disorder	http://snomed.info/sct	SNOMEDCT:723584003	Stern Lubinsky Durrie syndrome (disorder)	20240301	Stern Lubinsky Durrie syndrome	Corneodermatoosseous syndrome	ORPHA:3194
disorder	http://snomed.info/sct	SNOMEDCT:723610009	Spondylocostal dysostosis with anal atresia and genitourinary malformation syndrome (disorder)	20240301	Spondylocostal dysostosis with anal atresia and genitourinary malformation syndrome	Casamassima Morton Nance syndrome	ORPHA:94095
disorder	http://snomed.info/sct	SNOMEDCT:723611008	Split hand, split foot malformation with sensorineural hearing loss syndrome (disorder)	20240301	Split hand, split foot malformation with sensorineural hearing loss syndrome	Congenital deafness with split hands and feet	ORPHA:71271
disorder	http://snomed.info/sct	SNOMEDCT:723612001	Spinal muscular atrophy, Dandy-Walker malformation, cataract syndrome (disorder)	20240301	Spinal muscular atrophy, Dandy-Walker malformation, cataract syndrome		ORPHA:73245
disorder	http://snomed.info/sct	SNOMEDCT:723621000	Spastic tetraplegia, retinitis pigmentosa, intellectual disability syndrome (disorder)	20240301	Spastic tetraplegia, retinitis pigmentosa, intellectual disability syndrome	Spastic quadriplegia, retinitis pigmentosa, intellectual disability syndrome	ORPHA:3011
disorder	http://snomed.info/sct	SNOMEDCT:723622007	X-linked spastic paraplegia type 2 (disorder)	20240301	X-linked spastic paraplegia type 2	Spastic gait type 2	ORPHA:99015
disorder	http://snomed.info/sct	SNOMEDCT:723623002	Southeast Asian ovalocytosis (disorder)	20240301	Southeast Asian ovalocytosis	Melanesian ovalocytosis	ORPHA:98868
disorder	http://snomed.info/sct	SNOMEDCT:723624008	Solute carrier family 35 member A1 congenital disorder of glycosylation (disorder)	20240301	SLC35A1 congenital disorder of glycosylation	Congenital disorder of glycosylation type 2f	ORPHA:238459
disorder	http://snomed.info/sct	SNOMEDCT:723674005	Simple cryoglobulinemia (disorder)	20240301	Simple cryoglobulinaemia	Cryoglobulinemia type 1	ORPHA:91139
disorder	http://snomed.info/sct	SNOMEDCT:723675006	Sialidosis type 1 (disorder)	20240301	Sialidosis type 1	Cherry red spot myoclonus syndrome	ORPHA:812
disorder	http://snomed.info/sct	SNOMEDCT:723676007	Severe intellectual disability, epilepsy, anal anomaly, distal phalangeal hypoplasia syndrome (disorder)	20240301	Severe intellectual disability, epilepsy, anal anomaly, distal phalangeal hypoplasia syndrome		ORPHA:94066
disorder	http://snomed.info/sct	SNOMEDCT:723716009	Severe generalized recessive dystrophic epidermolysis bullosa (disorder)	20240301	Severe generalised recessive dystrophic epidermolysis bullosa	Autosomal recessive dystrophic epidermolysis bullosa generalisata gravis	ORPHA:79408
disorder	http://snomed.info/sct	SNOMEDCT:723720008	Sex reversion, kidney, adrenal and lung dysgenesis syndrome (disorder)	20240301	SERKAL syndrome	SERKAL (sex reversion, kidney, adrenal and lung dysgenesis) syndrome	ORPHA:139466
disorder	http://snomed.info/sct	SNOMEDCT:723721007	Sensorineural hearing loss, early graying, essential tremor syndrome (disorder)	20240301	Sensorineural hearing loss, early graying, essential tremor syndrome		ORPHA:66633
disorder	http://snomed.info/sct	SNOMEDCT:723819007	Autosomal dominant spastic paraplegia type 36 (disorder)	20240301	Autosomal dominant spastic paraplegia type 36		ORPHA:320365
disorder	http://snomed.info/sct	SNOMEDCT:723820001	Autosomal dominant spastic paraplegia type 4 (disorder)	20240301	Autosomal dominant spastic paraplegia type 4		ORPHA:100985
disorder	http://snomed.info/sct	SNOMEDCT:723821002	Autosomal recessive spastic paraplegia type 44 (disorder)	20240301	Autosomal recessive spastic paraplegia type 44		ORPHA:320401
disorder	http://snomed.info/sct	SNOMEDCT:723822009	Autosomal recessive spastic paraplegia type 46 (disorder)	20240301	Autosomal recessive spastic paraplegia type 46		ORPHA:320391
disorder	http://snomed.info/sct	SNOMEDCT:723823004	Autosomal recessive spastic paraplegia type 53 (disorder)	20240301	Autosomal recessive spastic paraplegia type 53		ORPHA:319199
disorder	http://snomed.info/sct	SNOMEDCT:723824005	Autosomal recessive spastic paraplegia type 54 (disorder)	20240301	Autosomal recessive spastic paraplegia type 54		ORPHA:320380
disorder	http://snomed.info/sct	SNOMEDCT:723825006	Autosomal recessive spastic paraplegia type 55 (disorder)	20240301	Autosomal recessive spastic paraplegia type 55		ORPHA:320375
disorder	http://snomed.info/sct	SNOMEDCT:723826007	Autosomal recessive spastic paraplegia type 57 (disorder)	20240301	Autosomal recessive spastic paraplegia type 57	Spastic paraplegia due to partial TFG deficiency	ORPHA:431329
disorder	http://snomed.info/sct	SNOMEDCT:723827003	Grant syndrome (disorder)	20240301	Grant syndrome		ORPHA:2097
disorder	http://snomed.info/sct	SNOMEDCT:723828008	Autosomal recessive bestrophinopathy (disorder)	20240301	Autosomal recessive bestrophinopathy	Retinopathy Burgess Black type	ORPHA:139455
disorder	http://snomed.info/sct	SNOMEDCT:723829000	Pulmonary fibrosis, hepatic hyperplasia, bone marrow hypoplasia syndrome (disorder)	20240301	Pulmonary fibrosis, hepatic hyperplasia, bone marrow hypoplasia syndrome	Trimorphic syndrome	ORPHA:210136
disorder	http://snomed.info/sct	SNOMEDCT:723830005	Keratosis follicularis, dwarfism, cerebral atrophy syndrome (disorder)	20240301	Keratosis follicularis, dwarfism, cerebral atrophy syndrome		ORPHA:2339
disorder	http://snomed.info/sct	SNOMEDCT:723866006	Idiopathic ventricular fibrillation not Brugada type (disorder)	20240301	Idiopathic ventricular fibrillation not Brugada type		ORPHA:228140
disorder	http://snomed.info/sct	SNOMEDCT:723973002	Sirenomelus (disorder)	20240301	Sirenomelus	Sirenomelia sequence	ORPHA:3169
disorder	http://snomed.info/sct	SNOMEDCT:723991007	Angio-osteohypertrophic syndrome (disorder)	20240301	Angio-osteohypertrophic syndrome	Angioosteohypertrophic syndrome	ORPHA:2346
disorder	http://snomed.info/sct	SNOMEDCT:723992000	Kufor Rakeb syndrome (disorder)	20240301	Kufor Rakeb syndrome	PARK9 - Parkinson disease 9	ORPHA:306674
disorder	http://snomed.info/sct	SNOMEDCT:723993005	Sensorineural deafness with dilated cardiomyopathy syndrome (disorder)	20240301	Sensorineural deafness with dilated cardiomyopathy syndrome		ORPHA:217622
disorder	http://snomed.info/sct	SNOMEDCT:723994004	Seizures and intellectual disability due to hydroxylysinuria syndrome (disorder)	20240301	Seizures and intellectual disability due to hydroxylysinuria	Seizures and intellectual disability due to hydroxylysinuria syndrome	ORPHA:79156
disorder	http://snomed.info/sct	SNOMEDCT:723995003	Schimke immuno-osseous dysplasia (disorder)	20240301	Schimke immuno-osseous dysplasia	Schimke immunoosseous dysplasia	ORPHA:1830
disorder	http://snomed.info/sct	SNOMEDCT:723998001	Short stature, Pierre Robin sequence, cleft mandible, hand anomalies, clubfoot syndrome (disorder)	20240301	Short stature, Pierre Robin sequence, cleft mandible, hand anomalies, clubfoot syndrome	Robin sequence with cleft mandible and limb anomalies syndrome	ORPHA:3102
disorder	http://snomed.info/sct	SNOMEDCT:723999009	Retinitis pigmentosa, hypopituitarism, nephronophthisis, skeletal dysplasia syndrome (disorder)	20240301	RHYNS syndrome	Retinitis pigmentosa, hypopituitarism, nephronophthisis, skeletal dysplasia syndrome	ORPHA:140976
disorder	http://snomed.info/sct	SNOMEDCT:724001005	Retinitis pigmentosa, intellectual disability, deafness, hypogenitalism syndrome (disorder)	20240301	Retinitis pigmentosa, intellectual disability, deafness, hypogenitalism syndrome	Retinitis pigmentosa, deafness, mental retardation, hypogonadism syndrome	ORPHA:3085
disorder	http://snomed.info/sct	SNOMEDCT:724002003	Retinal ischemia, digestive tract small vessel hyalinosis, diffuse cerebral calcification syndrome (disorder)	20240301	Rambaud Gallian syndrome	Rambaud Gallian Touchard syndrome	ORPHA:3018
disorder	http://snomed.info/sct	SNOMEDCT:724015007	Pyogenic arthritis, pyoderma gangrenosum, acne syndrome (disorder)	20240301	Pyogenic arthritis, pyoderma gangrenosum, acne syndrome	PAPA (pyogenic arthritis, pyoderma gangrenosum, acne) syndrome	ORPHA:69126
disorder	http://snomed.info/sct	SNOMEDCT:724016008	Ptosis, upper ocular movement limitation, absence of lacrimal punctum syndrome (disorder)	20240301	Ptosis, upper ocular movement limitation, absence of lacrimal punctum syndrome		ORPHA:228396
disorder	http://snomed.info/sct	SNOMEDCT:724039002	Psychomotor retardation due to S-adenosylhomocysteine hydrolase deficiency (disorder)	20240301	Psychomotor retardation due to S-adenosylhomocysteine hydrolase deficiency	Hypermethioninemia due to S-adenosylhomocysteine hydrolase deficiency	ORPHA:88618
disorder	http://snomed.info/sct	SNOMEDCT:724063005	Vasculitis due to and following viral infection (disorder)	20240301	Vasculitis due to and following viral infection	Post-infectious vasculitis	ORPHA:48435
disorder	http://snomed.info/sct	SNOMEDCT:724064004	Posterior fusion of lumbosacral vertebrae and blepharoptosis syndrome (disorder)	20240301	Posterior fusion of lumbosacral vertebrae and blepharoptosis syndrome	Faulk Epstein Jones syndrome	ORPHA:2064
disorder	http://snomed.info/sct	SNOMEDCT:724065003	Autosomal recessive posterior column ataxia and retinitis pigmentosa (disorder)	20240301	Autosomal recessive posterior column ataxia and retinitis pigmentosa	Posterior column ataxia with retinitis pigmentosa syndrome	ORPHA:88628
disorder	http://snomed.info/sct	SNOMEDCT:724066002	Polysyndactyly and cardiac malformation syndrome (disorder)	20240301	Polysyndactyly and cardiac malformation syndrome	Bonneau syndrome	ORPHA:2934
disorder	http://snomed.info/sct	SNOMEDCT:724067006	Permanent neonatal diabetes mellitus with cerebellar agenesis syndrome (disorder)	20240301	Permanent neonatal diabetes mellitus with cerebellar agenesis syndrome	Pancreatic and cerebellar agenesis syndrome	ORPHA:65288
disorder	http://snomed.info/sct	SNOMEDCT:724068001	Pericardial and diaphragmatic defect syndrome (disorder)	20240301	Pericardial and diaphragmatic defect syndrome		ORPHA:2847
disorder	http://snomed.info/sct	SNOMEDCT:724069009	Patterson Stevenson Fontaine syndrome (disorder)	20240301	Patterson Stevenson Fontaine syndrome	Split foot deformity with mandibulofacial dysostosis syndrome	ORPHA:2439
disorder	http://snomed.info/sct	SNOMEDCT:724070005	Paternal 20q13.2q13.3 microdeletion syndrome (disorder)	20240301	Paternal 20q13.2q13.3 microdeletion syndrome	Paternal monosomy 20q13.2q13.3	ORPHA:261304
disorder	http://snomed.info/sct	SNOMEDCT:724072002	Paroxysmal exertion-induced dyskinesia (disorder)	20240301	Paroxysmal exertion-induced dyskinesia	Dystonia 18	ORPHA:98811
disorder	http://snomed.info/sct	SNOMEDCT:724091002	Neuroectodermal melanolysosomal disease (disorder)	20240301	Neuroectodermal melanolysosomal disease	Elejalde disease	ORPHA:33445
disorder	http://snomed.info/sct	SNOMEDCT:724092009	Nephrosis, deafness, urinary tract, digital malformation syndrome (disorder)	20240301	Nephrosis, deafness, urinary tract, digital malformation syndrome	Braun Bayer syndrome	ORPHA:2669
disorder	http://snomed.info/sct	SNOMEDCT:724093004	Nephropathy, deafness, hyperparathyroidism syndrome (disorder)	20240301	Nephropathy, deafness, hyperparathyroidism syndrome	Edwards Patton Dilly syndrome	ORPHA:2668
disorder	http://snomed.info/sct	SNOMEDCT:724094005	Neonatal diabetes, congenital hypothyroidism, congenital glaucoma, hepatic fibrosis, polycystic kidney syndrome (disorder)	20240301	Neonatal diabetes, congenital hypothyroidism, congenital glaucoma, hepatic fibrosis, polycystic kidney syndrome		ORPHA:79118
disorder	http://snomed.info/sct	SNOMEDCT:724095006	Myopathy due to calsequestrin and sarcoplasmic/endoplasmic reticulum calcium ATPase 1 protein overload (disorder)	20240301	Myopathy due to calsequestrin and SERCA1 protein overload	Myopathy due to calsequestrin and sarcoplasmic/endoplasmic reticulum calcium ATPase 1 protein overload	ORPHA:88635
disorder	http://snomed.info/sct	SNOMEDCT:724096007	Congenital disorder of glycosylation type 1f (disorder)	20240301	Congenital disorder of glycosylation type 1f	Carbohydrate deficient glycoprotein syndrome type If	ORPHA:79323
disorder	http://snomed.info/sct	SNOMEDCT:724097003	Moyamoya angiopathy, short stature, facial dysmorphism, hypergonadotropic hypogonadism syndrome (disorder)	20240301	Moyamoya angiopathy, short stature, facial dysmorphism, hypergonadotropic hypogonadism syndrome	Moyamoya disease, short stature, facial dysmorphism, hypergonadotropic hypogonadism	ORPHA:280679
disorder	http://snomed.info/sct	SNOMEDCT:724098008	Monosomy 9q22.3 syndrome (disorder)	20240301	Monosomy 9q22.3 syndrome	Microdeletion 9q22.3	ORPHA:77301
disorder	http://snomed.info/sct	SNOMEDCT:724099000	Acquired monoclonal immunoglobulin light chain-associated Fanconi syndrome (disorder)	20240301	Acquired monoclonal immunoglobulin light chain-associated Fanconi syndrome	Acquired Fanconi syndrome secondary to monoclonal gammopathy	ORPHA:91136
disorder	http://snomed.info/sct	SNOMEDCT:724137002	Macrocephaly, obesity, mental disability, ocular abnormality syndrome (disorder)	20240301	MOMO syndrome	Macrocephaly, obesity, mental disability, ocular abnormality syndrome	ORPHA:2563
disorder	http://snomed.info/sct	SNOMEDCT:724138007	Mitochondrial myopathy with sideroblastic anemia syndrome (disorder)	20240301	Mitochondrial myopathy with sideroblastic anemia syndrome	Myopathy, lactic acidosis and sideroblastic anemia	ORPHA:2598
disorder	http://snomed.info/sct	SNOMEDCT:724139004	Microtia, eye coloboma, imperforation of nasolacrimal duct syndrome (disorder)	20240301	Microtia, eye coloboma, imperforation of nasolacrimal duct syndrome	Balikova Vermeesch syndrome	ORPHA:139450
disorder	http://snomed.info/sct	SNOMEDCT:724140002	Microspherophakia with metaphyseal dysplasia syndrome (disorder)	20240301	Microspherophakia with metaphyseal dysplasia syndrome	Verloes Van Maldergem de Marneffe syndrome	ORPHA:2551
disorder	http://snomed.info/sct	SNOMEDCT:724141003	Microcephalic primordial dwarfism due to zinc finger protein 335 deficiency (disorder)	20240301	Microcephalic primordial dwarfism due to ZNF335 deficiency	Microcephalic primordial dwarfism due to zinc finger protein 335 deficiency	ORPHA:329228
disorder	http://snomed.info/sct	SNOMEDCT:724142005	Carbohydrate deficient glycoprotein syndrome type 2a (disorder)	20240301	Carbohydrate deficient glycoprotein syndrome type 2a	Congenital disorder of glycosylation type 2a	ORPHA:79329
disorder	http://snomed.info/sct	SNOMEDCT:724144006	Embryofetopathy caused by methimazole (disorder)	20240301	Methimazole embryofetopathy	Embryofetopathy caused by methimazole	ORPHA:1923
disorder	http://snomed.info/sct	SNOMEDCT:724145007	Metaphyseal dysplasia, maxillary hypoplasia, brachydactyly syndrome (disorder)	20240301	Metaphyseal dysplasia, maxillary hypoplasia, brachydactyly syndrome		ORPHA:2504
disorder	http://snomed.info/sct	SNOMEDCT:724146008	Metaphyseal chondromatosis co-occurrent with D-2 hydroxyglutaric aciduria (disorder)	20240301	Metaphyseal chondromatosis co-occurrent with D-2 hydroxyglutaric aciduria		ORPHA:99646
disorder	http://snomed.info/sct	SNOMEDCT:724147004	8q13 microdeletion syndrome (disorder)	20240301	8q13 microdeletion syndrome	Mesomelia synostoses syndrome Verloes David Pfeiffer type	ORPHA:2496
disorder	http://snomed.info/sct	SNOMEDCT:724170007	Mesoaxial synostotic syndactyly with phalangeal reduction syndrome (disorder)	20240301	Mesoaxial synostotic syndactyly with phalangeal reduction syndrome	Syndactyly type 9	ORPHA:157801
disorder	http://snomed.info/sct	SNOMEDCT:724172004	McLeod neuroacanthocytosis syndrome (disorder)	20240301	McLeod neuroacanthocytosis syndrome	X-linked McLeod syndrome	ORPHA:59306
disorder	http://snomed.info/sct	SNOMEDCT:724173009	Maternally inherited cardiomyopathy and hearing loss syndrome (disorder)	20240301	Maternally inherited cardiomyopathy and hearing loss syndrome	Maternally inherited cardiomyopathy and deafness	ORPHA:1349
disorder	http://snomed.info/sct	SNOMEDCT:724174003	Moebius syndrome, axonal neuropathy, hypogonadotropic hypogonadism syndrome (disorder)	20240301	Moebius syndrome, axonal neuropathy, hypogonadotropic hypogonadism syndrome		ORPHA:2560
disorder	http://snomed.info/sct	SNOMEDCT:724175002	Lisch epithelial corneal dystrophy (disorder)	20240301	Lisch epithelial corneal dystrophy	Band-shaped and whorled microcystic dystrophy of corneal epithelium	ORPHA:98955
disorder	http://snomed.info/sct	SNOMEDCT:724176001	Lipodystrophy due to peptidic growth factors deficiency (disorder)	20240301	Lipodystrophy due to peptidic growth factors deficiency	Combined insulin, insulin-like growth factor 1 and epidermal growth factor deficiency	ORPHA:1979
disorder	http://snomed.info/sct	SNOMEDCT:724177005	Ligase 4 syndrome (disorder)	20240301	LIG4 syndrome	DNA (deoxyribonucleic acid) ligase IV deficiency	ORPHA:99812
disorder	http://snomed.info/sct	SNOMEDCT:724178000	Laryngeal abductor paralysis with intellectual disability syndrome (disorder)	20240301	Laryngeal abductor paralysis with intellectual disability syndrome	Plott syndrome	ORPHA:2375
disorder	http://snomed.info/sct	SNOMEDCT:724179008	Laron syndrome with immunodeficiency (disorder)	20240301	Laron syndrome with immunodeficiency	Short stature due to STAT5b (signal transducer and activator of transcription 5b) deficiency	ORPHA:220465
disorder	http://snomed.info/sct	SNOMEDCT:724206005	Keratin 14 related epidermolysis bullosa simplex (disorder)	20240301	KRT14 related epidermolysis bullosa simplex	Keratin 14 related epidermolysis bullosa simplex	ORPHA:89838
disorder	http://snomed.info/sct	SNOMEDCT:724207001	Kleefstra syndrome (disorder)	20240301	Kleefstra syndrome		ORPHA:261494
disorder	http://snomed.info/sct	SNOMEDCT:724208006	Keutel syndrome (disorder)	20240301	Keutel syndrome	Pulmonic stenosis, brachytelephalangism, calcification of cartilage syndrome	ORPHA:85202
disorder	http://snomed.info/sct	SNOMEDCT:724224007	Palmoplantar keratoderma with clinodactyly syndrome (disorder)	20240301	Palmoplantar keratoderma with clinodactyly syndrome	Keratosis palmaris et plantaris with clinodactyly syndrome	ORPHA:86919
disorder	http://snomed.info/sct	SNOMEDCT:724226009	Infantile osteopetrosis with neuroaxonal dysplasia syndrome (disorder)	20240301	Infantile osteopetrosis with neuroaxonal dysplasia syndrome	Infantile osteopetrosis with neuroaxonal dysplasia	ORPHA:85179
disorder	http://snomed.info/sct	SNOMEDCT:724227000	Infantile onset spinocerebellar ataxia (disorder)	20240301	Infantile onset spinocerebellar ataxia	Ophthalmoplegia, hypotonia, ataxia, hypoacusis, athetosis syndrome	ORPHA:1186
disorder	http://snomed.info/sct	SNOMEDCT:724228005	Infantile choroidocerebral calcification syndrome (disorder)	20240301	Infantile choroidocerebral calcification syndrome	Choroid plexus calcification and mental retardation	ORPHA:1313
disorder	http://snomed.info/sct	SNOMEDCT:724229002	Apnea of infancy (disorder)	20240301	Infantile apnea	Apnea of infancy	ORPHA:70590
disorder	http://snomed.info/sct	SNOMEDCT:724274009	Infant epilepsy with migrant focal crisis (disorder)	20240301	Infant epilepsy with migrant focal crisis		ORPHA:1943
disorder	http://snomed.info/sct	SNOMEDCT:724275005	Primary immunodeficiency with natural killer cell deficiency and adrenal insufficiency (disorder)	20240301	Primary immunodeficiency with natural killer cell deficiency and adrenal insufficiency	Primary immunodeficiency due to MCM4 deficiency	ORPHA:75391
disorder	http://snomed.info/sct	SNOMEDCT:724276006	X-linked immune dysregulation, polyendocrinopathy, enteropathy syndrome (disorder)	20240301	X-linked immune dysregulation, polyendocrinopathy, enteropathy syndrome	Autoimmune enteropathy type 1	ORPHA:37042
disorder	http://snomed.info/sct	SNOMEDCT:724277002	Congenital ichthyosis with hypotrichosis syndrome (disorder)	20240301	Congenital ichthyosis with hypotrichosis syndrome	Ichthyosis, follicular atrophoderma, hypotrichosis syndrome	ORPHA:91132
disorder	http://snomed.info/sct	SNOMEDCT:724278007	Neonatal sclerosing cholangitis, ichthyosis, hypotrichosis syndrome (disorder)	20240301	Neonatal sclerosing cholangitis, ichthyosis, hypotrichosis syndrome	Ichthyosis, hypotrichosis, sclerosing cholangitis syndrome	ORPHA:59303
disorder	http://snomed.info/sct	SNOMEDCT:724279004	Combined oxidative phosphorylation defect type 5 (disorder)	20240301	Combined oxidative phosphorylation defect type 5	COXPD5 - combined oxidative phosphorylation defect 5	ORPHA:137908
disorder	http://snomed.info/sct	SNOMEDCT:724281002	Hyposmia, nasal and ocular hypoplasia, hypogonadotropic hypogonadism syndrome (disorder)	20240301	Hyposmia, nasal and ocular hypoplasia, hypogonadotropic hypogonadism syndrome	Bosma Henkin Christiansen syndrome	ORPHA:2250
disorder	http://snomed.info/sct	SNOMEDCT:724282009	Hypoparathyroidism, deafness, renal disease syndrome (disorder)	20240301	Hypoparathyroidism, deafness, renal disease syndrome	Barakat syndrome	ORPHA:2237
disorder	http://snomed.info/sct	SNOMEDCT:724283004	Hypomyelinating leukodystrophy with atrophy of basal ganglia and cerebellum (disorder)	20240301	Hypomyelinating leucodystrophy with atrophy of basal ganglia and cerebellum	Hypomyelination with atrophy of basal ganglia and cerebellum syndrome	ORPHA:139441
disorder	http://snomed.info/sct	SNOMEDCT:724284005	Hypertelorism Teebi type (disorder)	20240301	Hypertelorism Teebi type	Teebi hypertelorism syndrome	ORPHA:1519
disorder	http://snomed.info/sct	SNOMEDCT:724344004	Hypercoagulability syndrome due to glycosylphosphatidylinositol deficiency (disorder)	20240301	Hypercoagulability syndrome due to glycosylphosphatidylinositol deficiency		ORPHA:83639
disorder	http://snomed.info/sct	SNOMEDCT:724349009	Hereditary inclusion body myopathy, joint contracture, ophthalmoplegia syndrome (disorder)	20240301	Hereditary inclusion body myopathy, joint contracture, ophthalmoplegia syndrome	Hereditary inclusion body myopathy type 3	ORPHA:79091
disorder	http://snomed.info/sct	SNOMEDCT:724350009	Hereditary hypotrichosis with recurrent skin vesicles syndrome (disorder)	20240301	Hereditary hypotrichosis with recurrent skin vesicles syndrome	Hypotrichosis and recurrent skin vesicles	ORPHA:217407
disorder	http://snomed.info/sct	SNOMEDCT:724351008	Hereditary hyperekplexia (disorder)	20240301	Hereditary hyperekplexia	Hereditary hyperexplexia	ORPHA:3197
disorder	http://snomed.info/sct	SNOMEDCT:724356003	Hereditary combined deficiency of vitamin K-dependent clotting factors (disorder)	20240301	Hereditary combined deficiency of vitamin K-dependent clotting factors	Hereditary combined deficiency of factors II, VII, IX and X	ORPHA:98434
disorder	http://snomed.info/sct	SNOMEDCT:724357007	Hereditary cerebral hemorrhage with amyloidosis (disorder)	20240301	Hereditary cerebral hemorrhage with amyloidosis	HCHWA - hereditary cerebral hemorrhage with amyloidosis	ORPHA:85458
disorder	http://snomed.info/sct	SNOMEDCT:724361001	Hepatic veno-occlusive disease with immunodeficiency syndrome (disorder)	20240301	Hepatic veno-occlusive disease with immunodeficiency syndrome	VODI syndrome	ORPHA:79124
disorder	http://snomed.info/sct	SNOMEDCT:724383002	Hemidystonia hemiatrophy syndrome (disorder)	20240301	Hemidystonia hemiatrophy syndrome		ORPHA:306741
disorder	http://snomed.info/sct	SNOMEDCT:724384008	Helicoid peripapillary chorioretinal degeneration (disorder)	20240301	Helicoid peripapillary chorioretinal degeneration	Sveinsson chorioretinal atrophy	ORPHA:86813
disorder	http://snomed.info/sct	SNOMEDCT:724385009	Growth delay due to insulin-like growth factor type 1 deficiency (disorder)	20240301	Growth delay due to insulin-like growth factor type 1 deficiency	Growth delay, deafness, intellectual disability syndrome	ORPHA:73272
disorder	http://snomed.info/sct	SNOMEDCT:724499007	Idiopathic acute eosinophilic pneumonia (disorder)	20240301	Idiopathic acute eosinophilic pneumonia		ORPHA:724
disorder	http://snomed.info/sct	SNOMEDCT:724540009	Tropical calcific chronic pancreatitis (disorder)	20240301	Tropical calcific chronic pancreatitis		ORPHA:103918
disorder	http://snomed.info/sct	SNOMEDCT:724555000	Puberty disorder due to estrogen resistance (disorder)	20240301	Puberty disorder due to oestrogen resistance	Estrogen resistance syndrome	ORPHA:785
disorder	http://snomed.info/sct	SNOMEDCT:724576005	Pyridoxal 5-phosphate dependent epilepsy (disorder)	20240301	Pyridoxal 5-phosphate dependent epilepsy	Pyridoxal phosphate-responsive seizures	ORPHA:79096
disorder	http://snomed.info/sct	SNOMEDCT:724642009	Myeloid neoplasm associated with beta-type platelet-derived growth factor receptor gene rearrangement (disorder)	20240301	Myeloid neoplasm associated with beta-type platelet-derived growth factor receptor gene rearrangement	Myeloid neoplasm associated with PDGFRB rearrangement	ORPHA:168950
disorder	http://snomed.info/sct	SNOMEDCT:724644005	Myeloid leukemia associated with Down syndrome (disorder)	20240301	Myeloid leukemia associated with Down syndrome	Myeloid leukemia co-occurrent with Down syndrome	ORPHA:99887
disorder	http://snomed.info/sct	SNOMEDCT:724645006	T-cell histiocyte rich large B-cell lymphoma (disorder)	20240301	T-cell histiocyte rich large B-cell lymphoma	T-cell hystiocyte rich large B-cell lymphoma	ORPHA:300857
disorder	http://snomed.info/sct	SNOMEDCT:724647003	Diffuse large B-cell lymphoma co-occurrent with chronic inflammation caused by Epstein-Barr virus (disorder)	20240301	Diffuse large B-cell lymphoma co-occurrent with chronic inflammation caused by Epstein-Barr virus	Diffuse large B-cell lymphoma with chronic inflammation caused by Human herpesvirus 4	ORPHA:300888
disorder	http://snomed.info/sct	SNOMEDCT:724648008	Plasmablastic lymphoma (disorder)	20240301	Plasmablastic lymphoma		ORPHA:289666
disorder	http://snomed.info/sct	SNOMEDCT:724649000	Langerhans cell sarcoma (disorder)	20240301	Langerhans cell sarcoma		ORPHA:86897
disorder	http://snomed.info/sct	SNOMEDCT:724650000	Primary follicular dendritic cell sarcoma (disorder)	20240301	Primary follicular dendritic cell sarcoma		ORPHA:86902
disorder	http://snomed.info/sct	SNOMEDCT:724838009	Hereditary skin peeling syndrome (disorder)	20240301	Hereditary skin peeling syndrome	Familial continuous skin peeling syndrome	ORPHA:817
disorder	http://snomed.info/sct	SNOMEDCT:724999003	Isolated hypoplasia of optic nerve (disorder)	20240301	Isolated hypoplasia of optic nerve	Isolated optic nerve hypoplasia	ORPHA:637061
disorder	http://snomed.info/sct	SNOMEDCT:725026008	Hepatic glycogen synthase deficiency (disorder)	20240301	Hepatic glycogen synthase deficiency	Glycogenosis type 0a	ORPHA:2089
disorder	http://snomed.info/sct	SNOMEDCT:725027004	Muscle and heart glycogen synthase deficiency (disorder)	20240301	Muscle and heart glycogen synthase deficiency	Glycogenosis due to muscle and heart glycogen synthase deficiency	ORPHA:137625
disorder	http://snomed.info/sct	SNOMEDCT:725028009	Mannosyl-oligosaccharide glycosidase congenital disorder of glycosylation (disorder)	20240301	Mannosyl-oligosaccharide glycosidase congenital disorder of glycosylation	Carbohydrate deficient glycoprotein syndrome type IIb	ORPHA:79330
disorder	http://snomed.info/sct	SNOMEDCT:725029001	Frontonasal dysplasia with alopecia and genital anomaly syndrome (disorder)	20240301	Frontonasal dysplasia with alopecia and genital anomaly syndrome	Frontonasal dysplasia with alopecia and genital abnomality	ORPHA:228390
